iter	Passed	Remaining
0	5	5542
1	10	5099
2	17	5709
3	23	5787
4	30	6120
5	34	5642
6	6	53	7627	7	62	7698	8	69	7659	9	80	7932
10	87	7908
11	93	7659
12	101	7718
13	108	7656
14	113	7431
15	122	7536
16	126	7333
17	131	7166
18	135	6976
19	138	6802
20	141	6605
21	144	6443
22	151	6446
23	155	6332
24	164	6410
25	181	6782
26	193	6985
27	206	7162
28	213	7146
29	218	7074
30	221	6923
31	226	6856
32	233	6848
33	237	6751
34	247	6834
35	263	7049
36	270	7049
37	275	6968
38	281	6940
39	287	6891
40	296	6923
41	303	6930
42	310	6906
43	316	6884
44	320	6811
45	332	6894
46	342	6950
47	350	6948
48	358	6957
49	367	6984
50	376	7015
51	386	7053
52	395	7069
53	407	7131
54	412	7088
55	423	7132
56	426	7062
57	434	7048
58	442	7054
59	452	7088
60	459	7078
61	466	7063
62	474	7053
63	478	6996
64	481	6924
65	490	6938
66	496	6915
67	508	6976
68	517	6982
69	524	6973
70	541	7089
71	550	7095
72	555	7050
73	559	7001
74	569	7019
75	575	6993
76	581	6973
77	586	6931
78	592	6905
79	596	6859
80	608	6906
81	613	6867
82	616	6813
83	621	6780
84	626	6745
85	633	6734
86	638	6703
87	642	6659
88	648	6633
89	654	6616
90	656	6560
91	660	6521
92	663	6473
93	667	6432
94	675	6435
95	678	6393
96	689	6415
97	695	6403
98	704	6409
99	710	6394
100	714	6355
101	722	6360
102	729	6357
103	741	6391
104	754	6427
105	760	6411
106	765	6390
107	772	6381
108	777	6353
109	784	6345
110	794	6367
111	802	6364
112	812	6375
113	818	6358
114	827	6369
115	836	6376
116	844	6375
117	854	6385
118	863	6392
119	867	6364
120	887	6445
121	893	6432
122	902	6437
123	910	6429
124	923	6461
125	927	6435
126	930	6395
127	939	6402
128	943	6367
129	945	6328
130	953	6322
131	958	6304
132	964	6284
133	970	6273
134	975	6248
135	985	6260
136	994	6264
137	1008	6297
138	1018	6306
139	1022	6281
140	1033	6294
141	1047	6328
142	1060	6356
143	1067	6345
144	1073	6331
145	1082	6332
146	1089	6321
147	1100	6336
148	1109	6337
149	1115	6320
150	1118	6288
151	1123	6265
152	1130	6259
153	1135	6240
154	1146	6249
155	1155	6252
156	1160	6228
157	1166	6215
158	1173	6206
159	1179	6194
160	1190	6201
161	1195	6186
162	1205	6191
163	1212	6178
164	1218	6165
165	1225	6159
166	1230	6139
167	1236	6122
168	1240	6097
169	1245	6080
170	1252	6070
171	1257	6054
172	1263	6040
173	1271	6036
174	1282	6045
175	1293	6055
176	1298	6036
177	1302	6014
178	1311	6013
179	1319	6011
180	1325	5998
181	1329	5973
182	1340	5985
183	1345	5966
184	1358	5985
185	1365	5975
186	1372	5967
187	1379	5958
188	1385	5946
189	1391	5932
190	1404	5948
191	1421	5980
192	1428	5972
193	1433	5954
194	1440	5945
195	1449	5947
196	1463	5965
197	1468	5947
198	1474	5934
199	1479	5919
200	1485	5905
201	1492	5894
202	1500	5891
203	1512	5900
204	1518	5887
205	1525	5880
206	1537	5890
207	1546	5888
208	1549	5865
209	1552	5841
210	1555	5816
211	1558	5794
212	1562	5771
213	1564	5747
214	1567	5724
215	1570	5699
216	1573	5677
217	1576	5655
218	1579	5632
219	1581	5608
220	1584	5585
221	1587	5561
222	1590	5540
223	1592	5517
224	1594	5493
225	1597	5471
226	1600	5449
227	1603	5427
228	1605	5405
229	1607	5382
230	1610	5360
231	1612	5337
232	1614	5315
233	1617	5295
234	1619	5273
235	1622	5251
236	1624	5230
237	1626	5208
238	1629	5188
239	1631	5167
240	1634	5147
241	1637	5127
242	1639	5107
243	1641	5086
244	1644	5067
245	1646	5048
246	1649	5029
247	1652	5010
248	1654	4991
249	1657	4971
250	1659	4952
251	1661	4933
252	1669	4929
253	1678	4928
254	1686	4928
255	1692	4919
256	1699	4913
257	1715	4934
258	1719	4919
259	1730	4925
260	1736	4915
261	1743	4911
262	1755	4920
263	1762	4914
264	1769	4906
265	1777	4904
266	1786	4904
267	1796	4906
268	1799	4889
269	1801	4870
270	1811	4873
271	1819	4870
272	1828	4870
273	1836	4865
274	1845	4865
275	1857	4871
276	1862	4861
277	1870	4859
278	1876	4848
279	1882	4840
280	1886	4827
281	1896	4827
282	1906	4830
283	1910	4815
284	1915	4806
285	1927	4811
286	1933	4804
287	1940	4797
288	1943	4781
289	1958	4795
290	1965	4788
291	1973	4786
292	1978	4774
293	1988	4774
294	1995	4769
295	2009	4780
296	2024	4791
297	2036	4797
298	2042	4787
299	2051	4786
300	2055	4772
301	2061	4764
302	2070	4763
303	2077	4756
304	2087	4757
305	2097	4756
306	2103	4747
307	2108	4738
308	2113	4726
309	2119	4716
310	2133	4725
311	2139	4718
312	2148	4716
313	2157	4712
314	2163	4704
315	2172	4702
316	2178	4693
317	2187	4690
318	2196	4688
319	2210	4697
320	2218	4692
321	2227	4689
322	2233	4682
323	2242	4679
324	2249	4671
325	2253	4659
326	2262	4655
327	2266	4643
328	2273	4637
329	2277	4623
330	2283	4615
331	2287	4603
332	2291	4590
333	2301	4588
334	2309	4584
335	2314	4573
336	2321	4567
337	2325	4554
338	2329	4541
339	2335	4533
340	2343	4529
341	2347	4516
342	2353	4508
343	2365	4511
344	2374	4507
345	2380	4500
346	2387	4491
347	2393	4484
348	2403	4483
349	2409	4474
350	2416	4468
351	2423	4461
352	2428	4451
353	2435	4444
354	2438	4430
355	2441	4416
356	2446	4405
357	2457	4406
358	2463	4398
359	2471	4394
360	2478	4387
361	2486	4381
362	2489	4368
363	2496	4362
364	2503	4356
365	2519	4364
366	2524	4354
367	2534	4352
368	2542	4348
369	2547	4337
370	2550	4324
371	2552	4309
372	2555	4295
373	2557	4281
374	2560	4267
375	2563	4254
376	2565	4240
377	2577	4242
378	2582	4232
379	2590	4226
380	2596	4219
381	2602	4210
382	2614	4211
383	2617	4198
384	2625	4193
385	2630	4183
386	2636	4176
387	2642	4168
388	2650	4163
389	2656	4155
390	2662	4147
391	2672	4144
392	2680	4139
393	2686	4132
394	2691	4123
395	2696	4112
396	2705	4108
397	2711	4100
398	2715	4090
399	2720	4080
400	2725	4071
401	2729	4060
402	2739	4058
403	2749	4055
404	2757	4051
405	2764	4043
406	2771	4037
407	2785	4041
408	2791	4032
409	2795	4023
410	2801	4014
411	2813	4015
412	2818	4006
413	2827	4002
414	2833	3994
415	2841	3988
416	2847	3981
417	2857	3978
418	2867	3976
419	2872	3966
420	2878	3958
421	2882	3947
422	2885	3935
423	2887	3923
424	2890	3910
425	2893	3898
426	2896	3886
427	2898	3874
428	2901	3862
429	2904	3850
430	2907	3838
431	2910	3826
432	2912	3814
433	2915	3802
434	2918	3791
435	2921	3779
436	2923	3766
437	2926	3755
438	2929	3743
439	2932	3731
440	2934	3719
441	2937	3708
442	2940	3697
443	2943	3685
444	2946	3674
445	2949	3663
446	2952	3652
447	2955	3641
448	2957	3629
449	2960	3618
450	2963	3607
451	2965	3595
452	2968	3584
453	2971	3573
454	2974	3563
455	2977	3551
456	2979	3540
457	2982	3529
458	2984	3518
459	2987	3507
460	2990	3496
461	2992	3485
462	2994	3473
463	2997	3462
464	2999	3451
465	3003	3441
466	3006	3430
467	3008	3420
468	3011	3409
469	3013	3398
470	3016	3387
471	3019	3377
472	3021	3366
473	3024	3355
474	3026	3345
475	3029	3334
476	3031	3323
477	3033	3313
478	3036	3303
479	3040	3293
480	3050	3291
481	3054	3282
482	3059	3274
483	3065	3268
484	3072	3262
485	3076	3253
486	3085	3250
487	3089	3241
488	3095	3234
489	3103	3229
490	3114	3228
491	3121	3223
492	3127	3216
493	3134	3210
494	3142	3205
495	3148	3199
496	3154	3192
497	3162	3187
498	3167	3180
499	3171	3171
500	3178	3165
501	3184	3159
502	3193	3155
503	3198	3147
504	3203	3139
505	3217	3141
506	3230	3141
507	3235	3133
508	3241	3126
509	3248	3121
510	3253	3113
511	3263	3110
512	3265	3100
513	3270	3092
514	3277	3086
515	3285	3081
516	3293	3076
517	3296	3067
518	3303	3061
519	3314	3059
520	3318	3051
521	3326	3046
522	3332	3039
523	3335	3030
524	3351	3031
525	3356	3024
526	3360	3016
527	3367	3010
528	3378	3008
529	3385	3002
530	3389	2993
531	3397	2988
532	3410	2988
533	3416	2981
534	3421	2973
535	3426	2965
536	3429	2956
537	3433	2948
538	3437	2940
539	3443	2933
540	3448	2925
541	3458	2922
542	3467	2918
543	3474	2912
544	3479	2904
545	3484	2897
546	3491	2891
547	3496	2884
548	3501	2876
549	3509	2871
550	3519	2868
551	3525	2861
552	3531	2854
553	3537	2847
554	3543	2841
555	3548	2833
556	3555	2827
557	3570	2828
558	3575	2821
559	3581	2813
560	3593	2812
561	3603	2808
562	3612	2804
563	3617	2796
564	3624	2790
565	3627	2781
566	3635	2776
567	3639	2768
568	3649	2764
569	3655	2757
570	3665	2753
571	3672	2747
572	3678	2741
573	3680	2731
574	3684	2723
575	3687	2714
576	3689	2704
577	3693	2696
578	3696	2687
579	3699	2678
580	3701	2669
581	3704	2660
582	3708	2652
583	3711	2644
584	3716	2636
585	3719	2627
586	3722	2618
587	3725	2610
588	3727	2601
589	3730	2592
590	3733	2583
591	3736	2574
592	3738	2566
593	3741	2557
594	3743	2548
595	3745	2539
596	3748	2530
597	3751	2521
598	3753	2512
599	3755	2503
600	3757	2494
601	3760	2485
602	3762	2477
603	3764	2468
604	3766	2458
605	3767	2449
606	3769	2440
607	3772	2432
608	3775	2423
609	3778	2416
610	3782	2408
611	3784	2399
612	3787	2391
613	3790	2382
614	3793	2374
615	3796	2366
616	3799	2358
617	3801	2349
618	3803	2341
619	3806	2332
620	3809	2324
621	3811	2316
622	3813	2307
623	3816	2299
624	3818	2290
625	3820	2282
626	3822	2274
627	3825	2265
628	3827	2257
629	3829	2249
630	3832	2241
631	3834	2232
632	3837	2224
633	3839	2216
634	3843	2208
635	3845	2200
636	3847	2192
637	3849	2184
638	3852	2176
639	3854	2168
640	3856	2160
641	3859	2152
642	3864	2145
643	3867	2137
644	3870	2130
645	3873	2647	3918	2128
648	4009	2168
649	4013	2161
650	4018	2154
651	4021	2146
652	4025	2139
653	4029	2131
654	4034	2125
655	4038	2117
656	4103	2142
657	4108	2135
658	4112	2128
659	4117	2121
660	4126	2116
661	4145	2116
662	4155	2112
663	4163	2106
664	4170	2100
665	4175	2094
666	4180	2087
667	4187	2081
668	4194	2075
669	4204	2070
670	4212	2065
671	4219	2059
672	4228	2054
673	4238	2050
674	4247	2045
675	4258	2041
676	4264	2034
677	4270	2027
678	4282	2024
679	4286	2017
680	4295	2012
681	4304	2006
682	4313	2001
683	4322	1997
684	4329	1991
685	4334	1983
686	4338	1976
687	4347	1971
688	4358	1967
689	4365	1961
690	4370	1954
691	4381	1950
692	4390	1944
693	4399	1939
694	4406	1933
695	4414	1928
696	4424	1923
697	4430	1916
698	4441	1912
699	4450	1907
700	4457	1901
701	4461	1893
702	4468	1887
703	4474	1881
704	4478	1873
705	4492	1870
706	4496	1863
707	4499	1855
708	4507	1850
709	4512	1843
710	4521	1837
711	4525	1830
712	4529	1823
713	4532	1815
714	4535	1808
715	4538	1800
716	4542	1792
717	4546	1785
718	4548	1777
719	4552	1770
720	4555	1762
721	4559	1755
722	4562	1747
723	4565	1740
724	4568	1733
725	4572	1725
726	4575	1718
727	4578	1710
728	4581	1703
729	4585	1695
730	4588	1688
731	4592	1681
732	4595	1673
733	4599	1666
734	4602	1659
735	4605	1651
736	4608	1644
737	4612	1637
738	4615	1630
739	4618	744	4559	1560
745	4572	1556
746	4577	1550
747	4588	1545
748	4599	1541
749	4604	1534
750	4614	1530
751	4617	1522
752	4620	1515
753	4630	1510
754	4636	1504
755	4643	1498
756	4649	1492
757	4653	1485
758	4657	1478
759	4662	1472
760	4666	1465
761	4672	1459
762	4678	1453
763	4683	1446
764	4690	1440
765	4699	1435
766	4705	1429
767	4709	1422
768	4717	1417
769	4723	1410
770	4734	1406
771	4738	1399
772	4745	1393
773	4753	1387
774	4762	1382
775	4768	1376
776	4775	1370
777	4782	1364
778	4796	1360
779	4810	1356
780	4817	1350
781	4824	1344
782	4831	1339
783	4835	1332
784	4838	1325
785	4842	1318
786	4845	1311
787	4848	1304
788	4851	1297
789	4855	1290
790	4857	1283
791	4860	1276
792	4862	1269
793	4865	1262
794	4867	1255
795	4871	1248
796	4875	1241
797	4877	1234
798	4880	1227
799	4883	1220
800	4887	1214
801	4890	1207
802	4892	1200
803	4895	1193
804	4898	1186
805	4902	1179
806	4905	1173
807	4909	1166
808	4912	1159
809	4916	1153
810	4919	1146
811	4922	1139
812	4925	1132
813	4927	1125
814	4930	1119
815	4933	1112
816	4936	1105
817	4939	1099
818	4942	1092
819	4946	1085
820	4950	1079
821	4954	1072
822	4957	1066
823	4959	1059
824	4963	1052
825	4966	1046
826	4969	1039
827	4972	1032
828	4975	1026
829	4978	1019
830	4981	1013
831	4985	1006
832	4988	1000
833	4991	993
834	4995	987
835	4999	980
836	5001	974
837	5004	967
838	5007	960
839	5011	954
840	5014	947
841	5016	941
842	5019	934
843	5022	928
844	5025	921
845	5028	915
846	5031	908
847	5034	902
848	5037	895
849	5040	889
850	5043	883
851	5046	876
852	5051	870
853	5054	864
854	5058	857
855	5063	851
856	5066	845
857	5083	841
858	5092	835
859	5096	829
860	5104	823
861	5109	817
862	5112	811
863	5116	805
864	5124	799
865	5127	793
866	5130	787
867	5134	780
868	5138	774
869	5141	768
870	5144	761
871	5148	755
872	5151	749
873	5154	743
874	5157	736
875	5160	730
876	5162	724
877	5165	717
878	5167	711
879	5170	705
880	5173	698
881	5175	692
882	5177	686
883	5180	679
884	5184	673
885	5190	667
886	5193	661
887	5196	655
888	5200	649
889	5202	642
890	5205	636
891	5208	630
892	5211	624
893	5213	618
894	5215	611
895	5217	605
896	5219	599
897	5221	593
898	5223	586
899	5225	580
900	5227	574
901	5230	568
902	5231	562
903	5234	555
904	5236	549
905	5239	543
906	5241	537
907	5243	531
908	5246	525
909	5249	519
910	5251	513
911	5254	506
912	5256	500
913	5259	494
914	5261	488
915	5264	482
916	5266	476
917	5269	470
918	5272	464
919	5274	458
920	5277	452
921	5280	446
922	5282	440
923	5285	434
924	5287	428
925	5290	422
926	5292	416
927	5295	410
928	5297	404
929	5300	398
930	5302	392
931	5305	387
932	5308	381
933	5310	375
934	5313	369
935	5315	363
936	5317	357
937	5320	351
938	5323	345
939	5325	339
940	5328	334
941	5331	328
942	5333	322
943	5336	316
944	5338	310
945	5340	304
946	5342	299
947	5345	293
948	5347	287
949	5349	281
950	5351	275
951	5354	269
952	5356	264
953	5358	258
954	5361	252
955	5363	246
956	5366	241
957	5369	235
958	5371	229
959	5373	223
960	5375	218
961	5379	212
962	5381	206
963	5384	201
964	5386	195
965	5389	189
966	5391	183
967	5393	178
968	5395	172
969	5397	166
970	5400	161
971	5402	155
972	5404	149
973	5406	144
974	5408	138
975	5410	133
976	5411	127
977	5413	121
978	5415	116
979	5417	110
980	5419	104
981	5420	99
982	5422	93
983	5425	88
984	5427	82
985	5429	77
986	5431	71
987	5433	65
988	5435	60
989	5437	54
990	5439	49
991	5441	43
992	5443	38
993	5445	32
994	5447	27
995	5448	21
996	5450	16
997	5451	10
998	5453	5
999	5455	0

995	5513	22
996	5514	16
997	5516	11
998	5518	5
999	5520	0
377	5
999	5379	0
